Region,Region Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Sub-Saharan Africa,SSF,70.77757531,71.45315133,72.10103209,73.0374917,73.74607532,73.37586981,72.48911401,71.62102682,72.30575986,72.83501018,72.75106094,72.63170678,72.08815112,71.42449623,70.89744474,70.65354094,70.7563244,70.25554408,70.21386895,70.28226192,70.78788022,70.26355633,69.31990533,68.20095082,67.9518598,68.50525919,68.53218762,68.21520288,68.24605049,68.66841381,70.57317869
Europe & Central Asia,ECS,5.699277443,5.86487279,6.222632161,6.639567046,6.876858709,6.961657824,7.069720804,7.367445188,7.491940385,7.552720029,7.613372542,7.622940612,7.567674569,7.692777405,7.9645296,8.294215983,8.566950697,9.138588078,9.495205927,10.43587325,10.88534545,10.74887012,11.60127223,12.28885312,12.43755586,12.87934559,12.89364648,12.90525223,13.48124359,14.01967766,15.14380258
North America,NAC,6.176548898,6.464217668,6.67393698,6.233598947,6.082728333,6.704677908,6.691243108,6.433195787,6.439382155,7.501708304,7.211362219,6.459563673,6.71398536,7.102102962,7.281241513,7.500694081,7.956927662,7.905618475,8.40894479,8.940121604,8.889854259,9.789689255,10.16870901,10.51008283,10.64276367,10.45552255,10.81338081,11.35193528,11.46307413,11.78375194,12.59905123
East Asia & Pacific,EAS,26.43298975,25.96922818,25.54247641,24.79720041,24.04795205,23.09054723,23.27539534,23.0022143,23.14800943,22.98752583,22.48927038,21.76682931,21.1682647,19.81447969,17.9475882,16.45215009,15.97016885,15.06433808,14.76340902,14.29505374,13.41616933,12.76475669,12.82258597,12.80499758,13.19145902,12.95032159,13.32258671,13.6095556,13.82909634,14.25982777,14.73570845
Middle East & North Africa,MEA,2.916499408,2.820572544,2.735801272,2.725108945,2.524311196,2.484366748,2.493363734,2.458329378,2.416365481,2.309992642,2.196361763,2.21525204,2.179346846,2.266417491,2.491502261,2.604333129,2.452464955,2.286337955,1.989303971,1.932388111,1.896674333,1.840844101,1.623127906,1.649689604,1.559839682,1.527430205,1.594509121,1.587153837,1.663919052,1.823345049,1.995650378
Latin America & Caribbean,LCN,32.57525363,31.98127784,31.68182121,31.08139072,30.72042962,30.28275255,29.38285761,28.6451891,28.62850054,29.08171728,28.4784888,27.94925926,28.51470587,29.04768835,28.8740168,28.95963144,28.93220459,29.03787232,29.14932511,30.00025454,29.02498594,28.47286307,27.8903446,27.75674872,27.71295288,28.22394531,28.90822344,29.40199837,30.25279721,30.65901425,33.9329423
