Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Namibia,NAM,2090,2240,2390,2270,2320,2500,2530,2510,2370,2220,2210,2060,1970,2240,2850,3490,4000,4220,4330,4280,4540,5190,5800,6020,5870,5380,4810,4700,5000,5270,4650,4680,4880
Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9700,11400,12280,11280,11340,11100,13020,15550,16500,18010,17870
Nepal,NPL,200,200,190,190,190,200,210,210,200,210,220,230,230,250,280,300,330,370,430,480,540,630,760,840,860,870,860,970,1110,1220,1180,1230,1340
Netherlands,NLD,19900,20830,23030,23540,24850,27110,29250,29400,27830,28150,28160,26840,26390,30290,36630,41960,45270,48620,51670,52310,53430,53650,51500,51900,51600,49300,46480,46270,50540,51930,50170,55180,57430
New Caledonia,NCL,14760,15200,16070,15880,16320,17720,18240,17810,14520,13650,13210,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,13640,12160,12050,12360,13400,15280,16730,17170,15790,15040,14070,13800,14170,16990,21530,25450,26390,28150,28610,29680,29670,32220,36700,39950,41690,40660,39450,38860,41680,43110,41590,45770,48460
Nicaragua,NIC,310,210,230,290,440,610,860,870,870,910,950,960,960,990,1080,1160,1200,1280,1390,1380,1460,1560,1660,1730,1810,1870,1930,2000,1940,1880,1760,1970,2090
Niger,NER,320,350,410,370,290,260,230,230,240,230,220,220,220,240,280,330,350,380,440,470,510,520,540,570,580,550,520,510,570,590,550,590,610
Nigeria,NGA,560,510,510,360,310,310,380,440,440,450,460,530,630,700,860,1020,1330,1600,1950,2030,2130,2180,2450,2700,2970,2850,2440,2070,1980,2080,2060,2120,2140
North Macedonia,MKD,..,..,1720,1450,1400,1790,2180,2220,2010,1910,1920,1820,1850,2110,2590,3020,3350,3620,4370,4650,4740,4840,4770,5030,5220,5130,5000,4940,5500,5890,5730,6250,6640
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,26500,27820,30780,30210,30850,32690,35790,37910,36110,35570,36600,38280,39930,44830,54290,64050,70300,78750,87850,88130,88940,90920,99750,104830,105070,93440,81870,76230,80970,82430,78610,83190,95510
Oman,OMN,5730,6030,6500,6280,6200,6360,6550,6820,6450,6210,6840,7600,7770,8140,9320,10670,12760,14840,18090,18920,19540,18870,22030,23030,22020,20520,18520,16570,17230,17810,17110,17950,20150
Pakistan,PAK,370,370,400,410,410,440,450,440,410,410,450,470,490,520,600,680,740,790,850,880,890,950,1040,1120,1160,1190,1300,1440,1610,1570,1420,1470,1580
Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,9100,8770,9400,10320,10790,11650,11550,10780,11040,11940,12540,12720,14020,15750,16620,16430,17410,17150,14640,12790,..
Panama,PAN,2660,2750,3040,3260,3440,3440,3600,3640,3710,3790,3920,3860,3970,4070,4500,4820,5130,5810,6580,6940,7290,8590,9580,10670,11220,12240,12810,13770,14750,15470,13040,14660,16750
Papua New Guinea,PNG,890,930,980,1130,1170,1060,1040,930,780,680,600,530,490,480,540,650,790,1050,1370,1470,1670,1740,2160,2360,2810,2670,2520,2390,2400,2510,2470,2450,2730
Paraguay,PRY,..,..,..,..,..,1740,1910,1910,1790,1660,1500,1470,1390,1290,1430,1620,1970,2490,3300,3720,4380,4810,5150,5960,6280,6100,5860,5800,6040,5940,5540,5740,5920
Peru,PER,840,1210,1410,1550,1750,1940,2140,2270,2140,2020,1960,1880,1940,2060,2260,2520,2780,3180,3760,3940,4380,4930,5740,6360,6470,6290,6070,6030,6430,6770,6000,6420,6770
Philippines,PHL,830,830,890,940,1060,1170,1330,1400,1320,1250,1180,1170,1130,1170,1290,1380,1490,1710,2000,2160,2360,2500,2840,3140,3300,3350,3410,3480,3640,3770,3350,3550,3950
Poland,POL,..,..,2080,2480,2760,3250,3840,4240,4360,4440,4670,4710,4900,5500,6260,7330,8420,9930,11940,12490,12670,12810,13090,13230,13470,13250,12660,12690,14180,15330,15300,16850,18350
Portugal,PRT,7130,8180,9860,10100,10450,11210,12100,12370,12190,12260,12180,11850,11780,13290,16190,18600,19410,20860,22640,22990,23030,22770,21170,21380,21200,20460,19940,20060,22060,23200,21850,23880,25800
Puerto Rico,PRI,5950,6300,6760,7100,7370,7820,8130,8510,8690,9590,10550,10950,11250,12170,14260,14750,15030,15860,16360,16580,16920,17670,18680,19170,19280,19420,19710,20000,21010,22040,21200,22460,24560
Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,25520,27950,35010,39010,51190,57400,65230,62950,68920,75540,83990,91130,89830,78040,66030,57190,59150,61790,58420,62370,70500
Romania,ROU,..,..,1240,1190,1270,1490,1640,1590,1580,1610,1710,1760,1950,2250,2960,3880,4900,6510,8800,9220,8710,9010,9200,9390,9760,9610,9460,10030,11520,12670,12710,14200,15660
Russian Federation,RUS,..,3440,3090,2920,2650,2640,2600,2650,2130,1750,1710,1780,2100,2590,3410,4450,5810,7560,9580,9230,9980,11060,13490,15190,14630,11780,9730,9210,10250,11280,10750,11820,12830
Rwanda,RWA,350,300,300,250,130,220,200,220,230,260,270,270,260,250,270,310,350,400,480,540,590,640,690,710,720,730,730,720,770,810,760,840,930
